t px py theta vx vy omega ax ay alpha 
0.0083 0.2520128328 -0.0100290276 -0.4930223143 -0.6013155564 2.720702108 -59.95751336 97.32791239 333.7647017 -6560.817579
0.0084 0.2519531796 -0.009755206029 -0.4990526793 -0.5918241978 2.756539404 -60.6675242 92.74071299 382.8645167 -7636.09787
0.0085 0.2518944549 -0.009477556427 -0.5051593881 -0.5827181093 2.797248236 -61.48400316 89.62933395 431.1683841 -8689.65393
0.0086 0.2518366279 -0.009195595995 -0.5113529715 -0.5738478023 2.842741514 -62.40463399 88.02932075 478.5386625 -9718.883146
0.0087 0.2517796823 -0.008908850658 -0.5176437303 -0.5650628893 2.892931857 -63.42713679 87.92906761 525.0821091 -10726.55954
0.0088 0.2517236174 -0.008616855205 -0.5240417367 -0.5562111895 2.947728887 -64.54920922 89.35853108 570.7181438 -11711.35353
0.0089 0.2516684473 -0.008319153473 -0.5305568347 -0.5471388852 3.007041457 -65.76857693 92.34908356 615.3649898 -12671.93281
0.009 0.251614202 -0.00801529868 -0.5371986374 -0.5376897826 3.07077501 -67.08293778 96.90082846 659.1216277 -13610.94387
0.0091 0.251560927 -0.007704853457 -0.543976531 -0.5277054169 3.13883323 -68.49000047 103.050106 701.9025414 -14527.023
0.0092 0.251508684 -0.00738739028 -0.5508996706 -0.5170248602 3.21111788 -69.98748417 110.8330977 743.6217867 -15418.83665
0.0093 0.2514575506 -0.007062491565 -0.5579769831 -0.5054842714 3.287526861 -71.57307966 120.2575396 784.3724563 -16288.99394
0.0094 0.2514076212 -0.006729750026 -0.5652171661 -0.4929171994 3.367956507 -73.24450352 131.3620497 824.0661015 -17136.18665
0.0095 0.2513590069 -0.006388768966 -0.5726286866 -0.4791541491 3.452299098 -74.99944851 144.1835475 862.614677 -17959.1689
0.0096 0.2513118358 -0.00603916258 -0.5802197822 -0.4640228375 3.540444589 -76.83562602 158.7340131 900.107108 -18760.59167
0.0097 0.2512662536 -0.005680556156 -0.587998463 -0.4473481698 3.632280529 -78.75076974 175.0545062 936.42461 -19538.64697
0.0098 0.2512224235 -0.00531258645 -0.5959725118 -0.4289521225 3.727690858 -80.74261503 193.1690837 971.5664208 -20294.1496
0.0099 0.2511805265 -0.004934902007 -0.6041494852 -0.4086538311 3.826555896 -82.80890494 213.1019821 1005.53113 -21027.95988
0.01 0.2511407622 -0.004547163409 -0.612536717 -0.3862698073 3.928753508 -84.94742163 234.9116557 1037.970934 -21733.51079
0.0101 0.2511033595 -0.00414916994 -0.6211385917 -0.3612167714 4.029603769 -87.05759866 267.502493 960.7686431 -20077.54222
0.0102 0.2510686268 -0.003741534235 -0.6299419999 -0.3329357792 4.121849894 -88.98375861 297.7320142 884.4331822 -18453.84205
0.0103 0.2510368694 -0.003325052992 -0.638929983 -0.3017477123 4.2065348 -90.74974533 325.6422623 809.4452597 -16871.82119
0.0104 0.2510083664 -0.002900476012 -0.648086722 -0.2678866578 4.283786785 -92.3595495 351.1826069 735.7997341 -15330.59075
0.0105 0.2509833732 -0.002468539897 -0.6573968005 -0.2315915153 4.353740048 -93.81720568 374.3168761 663.5110409 -13829.5717
0.0106 0.2509621212 -0.002029967717 -0.6668452037 -0.1931041571 4.416531517 -95.12671336 395.0236544 592.5855377 -12367.91749
0.0107 0.2509448174 -0.001585468619 -0.6764173163 -0.1526680179 4.472301681 -96.29204648 413.2929629 523.0773511 -10945.73445
0.0108 0.2509316445 -0.0011357376 -0.6860989176 -0.1105267231 4.521193798 -97.31712947 429.1293385 455.0048788 -9562.300054
0.0109 0.2509227608 -0.000681455307 -0.6958761738 -0.0669228507 4.563351517 -98.2057811 442.548183 388.3798064 -8216.704983
0.011 0.2509183007 -0.0002232879031 -0.7057356299 -0.02209695779 4.598919889 -98.96173272 453.5746356 323.2075178 -6907.876604
0.0111 0.2509183743 0.0002381129551 -0.7156641981 0.02371333895 4.628044754 -99.58861306 462.2422307 259.4876721 -5634.604911
0.0112 0.2509230683 0.0007021101315 -0.7256491458 0.07027413342 4.650870581 -100.0899008 468.5921603 197.2685876 -4396.724968
0.0113 0.2509324464 0.001168080969 -0.7356780834 0.1173558681 4.667541609 -100.4689496 472.6697758 136.432629 -3190.509152
0.0114 0.2509465494 0.001635417165 -0.7457389489 0.1647339024 4.678201395 -100.7289797 474.5268562 77.01953983 -2015.634421
0.0115 0.2509653957 0.002103524641 -0.7558199937 0.2121889188 4.682990822 -100.873037 474.2187606 19.01148065 -870.5646919
0.0116 0.2509889825 0.00257182339 -0.7659097678 0.2595073563 4.682049872 -100.9040346 471.8043398 -37.61287177 246.2776278
0.0117 0.2510172857 0.00303974724 -0.7759971034 0.3064816156 4.675515193 -100.824704 467.3448354 -92.87770898 1336.492628
0.0118 0.2510502606 0.003506743547 -0.7860710975 0.352910349 4.663521406 -100.637627 460.9035995 -146.8099756 2401.694897
0.0119 0.251087843 0.003972273053 -0.7961210988 0.3985986728 4.646200824 -100.345235 452.547782 -199.4134178 3442.948463
0.012 0.2511299493 0.004435809492 -0.8061366889 0.4433581632 4.623681685 -99.94977557 442.3414893 -250.7454544 4462.42281
0.0121 0.2511764775 0.004896839354 -0.8161076682 0.4870070644 4.596089497 -99.45334719 430.3486643 -300.8648565 5462.262131
0.0122 0.2512273078 0.005354861479 -0.8260240384 0.5293703639 4.563546842 -98.85790061 416.6386762 -349.7811817 6443.487682
0.0123 0.251282303 0.005809386757 -0.8358759878 0.5702796626 4.526171692 -98.16520855 401.278711 -397.531091 7407.645387
0.0124 0.2513413097 0.006259937683 -0.845653874 0.6095733363 4.484078787 -97.37690169 384.3360954 -444.1527272 8356.249917
0.0125 0.2514041585 0.006706048093 -0.8553482117 0.6470965682 4.43737948 -96.49447174 365.8962078 -489.5618952 9288.090421
0.0126 0.2514706735 0.00714731783 -0.8649508566 0.6830157372 4.388166774 -95.56252477 353.7530844 -486.6741402 9177.038606
0.0127 0.2515407241 0.00758370625 -0.8744614108 0.7178005421 4.339650558 -94.65036203 341.974893 -483.7348994 9068.732505
0.0128 0.2516141948 0.008015257386 -0.8838812757 0.751419503 4.291419623 -93.74864298 330.442391 -480.9137037 8966.945372
0.0129 0.25169097 0.00844199931 -0.8932114664 0.783896887 4.243464854 -92.8567817 319.1463493 -478.1817142 8870.901023
0.013 0.2517709368 0.008863959207 -0.9024529405 0.8152556948 4.195777549 -91.97421556 308.0698022 -475.5589715 8780.900806
0.0131 0.2518539846 0.009281163399 -0.9116066 0.8455177328 4.148349392 -91.10040374 297.2054244 -473.0174362 8696.202895
0.0132 0.2519400045 0.009693637399 -0.9206732943 0.8747036823 4.101172428 -90.23482583 286.547358 -470.5298428 8616.086847
0.0133 0.2520288901 0.01010140598 -0.9296538224 0.9028332712 4.054239513 -89.37699099 276.0754271 -468.1405895 8541.415078
0.0134 0.2521205365 0.0105044931 -0.9385489325 0.9299249071 4.007542409 -88.52639513 265.790056 -465.7990844 8470.968183
